id_venta,producto,precio,cantidad,fecha_venta,categoria
2268,Smartwatch,48.45,2,2024-01-11,Electrónica
2325,Auriculares,117.43,11,2024-01-11,Electrónica
2761,Parlantes Bluetooth,29.89,9,2024-01-11,Electrónica
243,Espejo Decorativo,55.61,1,2024-01-12,Decoración
1441,Freidora Eléctrica,52.57,11,2024-01-12,Electrodomésticos
2428,Smartwatch,115.0,10,2024-01-12,Electrónica
2583,Smartphone,67.93,10,2024-01-12,Electrónica
2980,Consola De Videojuegos,110.6,12,2024-01-12,Electrónica
88,Rincón De Plantas,109.33,9,2024-01-13,Decoración
501,Lámpara De Mesa,35.2,6,2024-01-13,Decoración
507,Elementos De Cerámica,111.1,1,2024-01-13,Decoración
669,Lámpara De Mesa,96.79,5,2024-01-13,Decoración
987,Elementos De Cerámica,102.62,3,2024-01-13,Decoración
1548,Cafetera,35.73,12,2024-01-13,Electrodomésticos
2822,Televisor,57.34,1,2024-01-13,Electrónica
2924,Tablet,32.3,1,2024-01-13,Electrónica
20,Adorno De Pared,90.21,2,2024-01-14,Decoración
53,Espejo Decorativo,115.45,7,2024-01-14,Decoración
608,Rincón De Plantas,64.67,10,2024-01-14,Decoración
993,Espejo Decorativo,98.26,1,2024-01-14,Decoración
1065,Lavadora,43.98,6,2024-01-14,Electrodomésticos
1599,Batidora,96.78,12,2024-01-14,Electrodomésticos
1638,Cafetera,123.96,9,2024-01-14,Electrodomésticos
1685,Lavadora,84.8,3,2024-01-14,Electrodomésticos
2685,Auriculares,27.36,10,2024-01-14,Electrónica
169,Lámpara De Mesa,76.32,9,2024-01-15,Decoración
236,Cortinas,118.69,9,2024-01-15,Decoración
260,Adorno De Pared,101.48,9,2024-01-15,Decoración
977,Elementos De Cerámica,74.35,5,2024-01-15,Decoración
1271,Freidora Eléctrica,119.46,2,2024-01-15,Electrodomésticos
2098,Smartwatch,75.65,5,2024-01-15,Electrónica
2196,Laptop,31.69,1,2024-01-15,Electrónica
2590,Consola De Videojuegos,99.14,6,2024-01-15,Electrónica
2788,Smartwatch,30.38,8,2024-01-15,Electrónica
2803,Smartphone,95.73,5,2024-01-15,Electrónica
2874,Tablet,117.47,2,2024-01-15,Electrónica
113,Espejo Decorativo,75.93,10,2024-01-16,Decoración
503,Espejo Decorativo,101.91,3,2024-01-16,Decoración
832,Cuadro Decorativo,30.59,1,2024-01-16,Decoración
962,Cuadro Decorativo,40.97,11,2024-01-16,Decoración
1250,Plancha De Vapor,98.55,6,2024-01-16,Electrodomésticos
1431,Freidora Eléctrica,83.95,8,2024-01-16,Electrodomésticos
1920,Plancha De Vapor,86.65,6,2024-01-16,Electrodomésticos
2129,Proyector,107.98,6,2024-01-16,Electrónica
2220,Consola De Videojuegos,31.57,1,2024-01-16,Electrónica
2477,Cámara Digital,38.37,9,2024-01-16,Electrónica
2789,Proyector,115.19,11,2024-01-16,Electrónica
2935,Auriculares,80.29,2,2024-01-16,Electrónica
131,Lámpara De Mesa,58.32,10,2024-01-17,Decoración
178,Rincón De Plantas,81.5,1,2024-01-17,Decoración
368,Rincón De Plantas,87.4,9,2024-01-17,Decoración
627,Elementos De Cerámica,,,2024-01-17,Decoración
684,Jarrón Decorativo,106.89,6,2024-01-17,Decoración
1750,Plancha De Vapor,94.53,2,2024-01-17,Electrodomésticos
2171,Parlantes Bluetooth,,,2024-01-17,Electrónica
2284,Tablet,69.35,4,2024-01-17,Electrónica
2402,Televisor,117.53,9,2024-01-17,Electrónica
2698,Smartwatch,76.47,7,2024-01-17,Electrónica
430,Adorno De Pared,81.76,5,2024-01-18,Decoración
588,Rincón De Plantas,80.17,3,2024-01-18,Decoración
1626,Secadora,102.73,6,2024-01-18,Electrodomésticos
1900,Plancha De Vapor,45.14,1,2024-01-18,Electrodomésticos
2119,Proyector,84.1,11,2024-01-18,Electrónica
2244,Auriculares,63.67,5,2024-01-18,Electrónica
2297,Cámara Digital,119.43,5,2024-01-18,Electrónica
2416,Laptop,81.74,10,2024-01-18,Electrónica
2431,Parlantes Bluetooth,69.4,1,2024-01-18,Electrónica
2792,Televisor,84.96,5,2024-01-18,Electrónica
30,Adorno De Pared,76.92,6,2024-01-19,Decoración
49,Lámpara De Mesa,52.95,6,2024-01-19,Decoración
104,Jarrón Decorativo,103.13,8,2024-01-19,Decoración
323,Espejo Decorativo,123.21,7,2024-01-19,Decoración
395,Alfombra,33.48,12,2024-01-19,Decoración
851,Lámpara De Mesa,85.23,6,2024-01-19,Decoración
1125,Lavadora,97.73,12,2024-01-19,Electrodomésticos
1332,Cafetera,98.21,11,2024-01-19,Electrodomésticos
1806,Secadora,27.45,10,2024-01-19,Electrodomésticos
2231,Parlantes Bluetooth,42.98,7,2024-01-19,Electrónica
401,Lámpara De Mesa,69.47,8,2024-01-20,Decoración
788,Rincón De Plantas,85.75,3,2024-01-20,Decoración
1007,Horno Eléctrico,98.42,8,2024-01-20,Electrodomésticos
1489,Batidora,95.59,3,2024-01-20,Electrodomésticos
2187,Cámara Digital,108.61,2,2024-01-20,Electrónica
2588,Smartwatch,83.01,11,2024-01-20,Electrónica
2721,Parlantes Bluetooth,40.74,6,2024-01-20,Electrónica
2897,Cámara Digital,71.45,5,2024-01-20,Electrónica
2987,Cámara Digital,91.13,8,2024-01-20,Electrónica
59,Lámpara De Mesa,121.72,8,2024-01-21,Decoración
754,Jarrón Decorativo,91.53,12,2024-01-21,Decoración
1117,Horno Eléctrico,103.57,1,2024-01-21,Electrodomésticos
1140,Plancha De Vapor,27.61,7,2024-01-21,Electrodomésticos
1145,Lavadora,67.2,11,2024-01-21,Electrodomésticos
1286,Secadora,84.5,11,2024-01-21,Electrodomésticos
1754,Aspiradora,104.86,8,2024-01-21,Electrodomésticos
1882,Cafetera,51.16,12,2024-01-21,Electrodomésticos
2560,Consola De Videojuegos,87.23,5,2024-01-21,Electrónica
442,Cuadro Decorativo,29.17,1,2024-01-22,Decoración
547,Elementos De Cerámica,83.81,6,2024-01-22,Decoración
984,Jarrón Decorativo,26.97,5,2024-01-22,Decoración
1106,Secadora,91.54,2,2024-01-22,Electrodomésticos
1808,Cafetera,45.98,3,2024-01-22,Electrodomésticos
1981,Freidora Eléctrica,48.68,8,2024-01-22,Electrodomésticos
80,Adorno De Pared,51.56,5,2024-01-23,Decoración
189,Lámpara De Mesa,26.42,2,2024-01-23,Decoración
839,Lámpara De Mesa,96.37,5,2024-01-23,Decoración
947,Elementos De Cerámica,117.34,1,2024-01-23,Decoración
1592,Cafetera,86.79,3,2024-01-23,Electrodomésticos
2690,Consola De Videojuegos,102.4,2,2024-01-23,Electrónica
39,Lámpara De Mesa,57.35,12,2024-01-24,Decoración
164,Jarrón Decorativo,66.27,1,2024-01-24,Decoración
196,Cortinas,90.87,4,2024-01-24,Decoración
768,Rincón De Plantas,89.47,2,2024-01-24,Decoración
1515,Lavadora,108.37,1,2024-01-24,Electrodomésticos
1786,Secadora,40.63,3,2024-01-24,Electrodomésticos
1977,Horno Eléctrico,45.79,7,2024-01-24,Electrodomésticos
2354,Tablet,27.98,8,2024-01-24,Electrónica
2543,Smartphone,91.39,7,2024-01-24,Electrónica
2623,Smartphone,27.32,7,2024-01-24,Electrónica
2982,Televisor,26.7,9,2024-01-24,Electrónica
85,Alfombra,71.14,2,2024-01-25,Decoración
983,Espejo Decorativo,123.22,10,2024-01-25,Decoración
1378,Cafetera,96.94,4,2024-01-25,Electrodomésticos
1485,Lavadora,66.16,4,2024-01-25,Electrodomésticos
1503,Microondas,39.45,9,2024-01-25,Electrodomésticos
2121,Parlantes Bluetooth,100.6,6,2024-01-25,Electrónica
2340,Consola De Videojuegos,109.68,5,2024-01-25,Electrónica
2502,Televisor,77.83,8,2024-01-25,Electrónica
2619,Proyector,70.1,10,2024-01-25,Electrónica
2735,Auriculares,93.37,10,2024-01-25,Electrónica
2948,Smartwatch,29.15,2,2024-01-25,Electrónica
73,Espejo Decorativo,52.58,9,2024-01-26,Decoración
621,Lámpara De Mesa,70.6,6,2024-01-26,Decoración
787,Elementos De Cerámica,106.39,6,2024-01-26,Decoración
933,Espejo Decorativo,110.02,1,2024-01-26,Decoración
1768,Cafetera,120.32,9,2024-01-26,Electrodomésticos
2252,Televisor,89.27,8,2024-01-26,Electrónica
2305,Auriculares,31.03,9,2024-01-26,Electrónica
218,Rincón De Plantas,120.32,1,2024-01-27,Decoración
310,Adorno De Pared,103.79,2,2024-01-27,Decoración
496,Cortinas,37.02,5,2024-01-27,Decoración
1360,Plancha De Vapor,95.1,2,2024-01-27,Electrodomésticos
1744,Aspiradora,28.79,12,2024-01-27,Electrodomésticos
1877,Horno Eléctrico,53.46,4,2024-01-27,Electrodomésticos
2165,Auriculares,47.24,9,2024-01-27,Electrónica
2218,Smartwatch,54.84,1,2024-01-27,Electrónica
2222,Televisor,33.19,9,2024-01-27,Electrónica
2546,Laptop,30.31,2,2024-01-27,Electrónica
617,Elementos De Cerámica,28.22,4,2024-01-28,Decoración
641,Lámpara De Mesa,95.46,10,2024-01-28,Decoración
912,Cuadro Decorativo,111.56,9,2024-01-28,Decoración
1999,Batidora,103.27,3,2024-01-28,Electrodomésticos
2323,Smartphone,34.5,1,2024-01-28,Electrónica
2636,Laptop,33.07,10,2024-01-28,Electrónica
2693,Smartphone,115.81,1,2024-01-28,Electrónica
373,Espejo Decorativo,29.77,11,2024-01-29,Decoración
1452,Cafetera,88.56,8,2024-01-29,Electrodomésticos
1645,Lavadora,76.5,3,2024-01-29,Electrodomésticos
2228,Smartwatch,100.06,7,2024-01-29,Electrónica
2240,Consola De Videojuegos,43.35,8,2024-01-29,Electrónica
2245,Auriculares,53.45,8,2024-01-29,Electrónica
2653,Smartphone,121.22,6,2024-01-29,Electrónica
2870,Consola De Videojuegos,72.39,1,2024-01-29,Electrónica
2938,Smartwatch,122.68,1,2024-01-29,Electrónica
2953,Smartphone,121.0,12,2024-01-29,Electrónica
1046,Secadora,109.0,11,2024-01-30,Electrodomésticos
1886,Secadora,47.91,1,2024-01-30,Electrodomésticos
1965,Lavadora,43.52,7,2024-01-30,Electrodomésticos
2005,Auriculares,56.56,4,2024-01-30,Electrónica
2273,Smartphone,59.33,2,2024-01-30,Electrónica
2522,Televisor,94.98,2,2024-01-30,Electrónica
2784,Tablet,41.96,9,2024-01-30,Electrónica
2945,Auriculares,115.2,1,2024-01-30,Electrónica
50,Adorno De Pared,83.1,5,2024-01-31,Decoración
162,Cuadro Decorativo,59.6,5,2024-01-31,Decoración
259,Lámpara De Mesa,78.89,11,2024-01-31,Decoración
277,Elementos De Cerámica,52.17,7,2024-01-31,Decoración
852,Cuadro Decorativo,78.93,4,2024-01-31,Decoración
1185,Lavadora,92.36,1,2024-01-31,Electrodomésticos
1210,Plancha De Vapor,101.96,10,2024-01-31,Electrodomésticos
1254,Aspiradora,74.11,11,2024-01-31,Electrodomésticos
1481,Freidora Eléctrica,121.77,12,2024-01-31,Electrodomésticos
1898,Cafetera,63.54,9,2024-01-31,Electrodomésticos
2185,Auriculares,35.74,11,2024-01-31,Electrónica
2752,Auriculares,119.77,5,2024-01-31,Electrónica
2916,Laptop,93.91,2,2024-01-31,Electrónica
733,Espejo Decorativo,44.37,2,2024-02-01,Decoración
848,Rincón De Plantas,81.92,10,2024-02-01,Decoración
1102,Cafetera,108.33,2,2024-02-01,Electrodomésticos
1764,Aspiradora,112.38,10,2024-02-01,Electrodomésticos
1813,Microondas,89.16,5,2024-02-01,Electrodomésticos
2069,Proyector,76.17,12,2024-02-01,Electrónica
2474,Auriculares,123.41,8,2024-02-01,Electrónica
2680,Consola De Videojuegos,89.96,2,2024-02-01,Electrónica
380,Adorno De Pared,45.84,10,2024-02-02,Decoración
557,Elementos De Cerámica,108.86,6,2024-02-02,Decoración
828,Rincón De Plantas,27.95,7,2024-02-02,Decoración
829,Lámpara De Mesa,41.6,12,2024-02-02,Decoración
1600,Plancha De Vapor,47.6,10,2024-02-02,Electrodomésticos
2079,Proyector,111.74,6,2024-02-02,Electrónica
2115,Auriculares,26.0,9,2024-02-02,Electrónica
2133,Smartphone,88.43,2,2024-02-02,Electrónica
2329,Proyector,62.88,7,2024-02-02,Electrónica
2476,Laptop,109.23,7,2024-02-02,Electrónica
2548,Smartwatch,108.99,10,2024-02-02,Electrónica
211,Lámpara De Mesa,30.03,8,2024-02-03,Decoración
541,Lámpara De Mesa,76.33,10,2024-02-03,Decoración
695,Alfombra,51.29,2,2024-02-03,Decoración
1336,Secadora,42.81,7,2024-02-03,Electrodomésticos
1499,Batidora,77.53,4,2024-02-03,Electrodomésticos
2007,Cámara Digital,117.11,9,2024-02-03,Electrónica
2068,Smartwatch,49.23,4,2024-02-03,Electrónica
2758,Smartwatch,81.32,6,2024-02-03,Electrónica
2851,Parlantes Bluetooth,110.42,2,2024-02-03,Electrónica
64,Jarrón Decorativo,104.16,10,2024-02-04,Decoración
763,Espejo Decorativo,117.99,3,2024-02-04,Decoración
1424,Aspiradora,69.31,10,2024-02-04,Electrodomésticos
1455,Lavadora,38.61,10,2024-02-04,Electrodomésticos
1456,Secadora,84.24,3,2024-02-04,Electrodomésticos
2315,Auriculares,109.07,4,2024-02-04,Electrónica
2832,Televisor,49.23,4,2024-02-04,Electrónica
24,Jarrón Decorativo,70.51,12,2024-02-05,Decoración
40,Adorno De Pared,100.32,10,2024-02-05,Decoración
347,Elementos De Cerámica,83.52,12,2024-02-05,Decoración
911,Lámpara De Mesa,33.9,4,2024-02-05,Decoración
1451,Freidora Eléctrica,48.52,4,2024-02-05,Electrodomésticos
1855,Lavadora,123.28,8,2024-02-05,Electrodomésticos
1961,Freidora Eléctrica,81.99,1,2024-02-05,Electrodomésticos
2378,Smartwatch,72.38,1,2024-02-05,Electrónica
2426,Laptop,47.57,4,2024-02-05,Electrónica
1064,Aspiradora,65.0,9,2024-02-06,Electrodomésticos
1313,Microondas,82.58,9,2024-02-06,Electrodomésticos
1848,Cafetera,123.27,4,2024-02-06,Electrodomésticos
2267,Cámara Digital,57.81,10,2024-02-06,Electrónica
2438,Smartwatch,45.98,3,2024-02-06,Electrónica
2566,Laptop,70.59,9,2024-02-06,Electrónica
2617,Cámara Digital,89.53,9,2024-02-06,Electrónica
2627,Cámara Digital,102.83,5,2024-02-06,Electrónica
381,Lámpara De Mesa,124.57,3,2024-02-07,Decoración
393,Espejo Decorativo,122.11,7,2024-02-07,Decoración
662,Cuadro Decorativo,42.09,12,2024-02-07,Decoración
770,Adorno De Pared,103.74,5,2024-02-07,Decoración
895,Alfombra,102.72,2,2024-02-07,Decoración
1340,Plancha De Vapor,48.48,10,2024-02-07,Electrodomésticos
1422,Cafetera,109.97,2,2024-02-07,Electrodomésticos
1554,Aspiradora,124.82,3,2024-02-07,Electrodomésticos
2584,Auriculares,42.67,6,2024-02-07,Electrónica
163,Espejo Decorativo,30.11,12,2024-02-08,Decoración
367,Elementos De Cerámica,47.0,2,2024-02-08,Decoración
745,Alfombra,50.02,12,2024-02-08,Decoración
850,Adorno De Pared,112.03,9,2024-02-08,Decoración
971,Lámpara De Mesa,79.91,8,2024-02-08,Decoración
1501,Freidora Eléctrica,58.69,4,2024-02-08,Electrodomésticos
1529,Batidora,79.14,10,2024-02-08,Electrodomésticos
2618,Smartwatch,64.98,11,2024-02-08,Electrónica
809,Lámpara De Mesa,58.38,4,2024-02-09,Decoración
1371,Freidora Eléctrica,95.71,4,2024-02-09,Electrodomésticos
1791,Freidora Eléctrica,51.37,9,2024-02-09,Electrodomésticos
2294,Auriculares,54.54,9,2024-02-09,Electrónica
2668,Smartwatch,97.01,4,2024-02-09,Electrónica
2718,Smartwatch,110.23,11,2024-02-09,Electrónica
135,Alfombra,78.47,1,2024-02-10,Decoración
212,Cuadro Decorativo,52.83,12,2024-02-10,Decoración
229,Lámpara De Mesa,99.71,3,2024-02-10,Decoración
737,Elementos De Cerámica,116.82,3,2024-02-10,Decoración
840,Adorno De Pared,91.48,9,2024-02-10,Decoración
949,Lámpara De Mesa,87.04,1,2024-02-10,Decoración
1294,Aspiradora,26.11,9,2024-02-10,Electrodomésticos
1436,Secadora,45.43,11,2024-02-10,Electrodomésticos
1696,Secadora,115.57,12,2024-02-10,Electrodomésticos
2013,Smartphone,49.34,12,2024-02-10,Electrónica
2203,Smartphone,59.33,5,2024-02-10,Electrónica
2873,Smartphone,74.8,5,2024-02-10,Electrónica
2973,Smartphone,97.62,1,2024-02-10,Electrónica
43,Espejo Decorativo,81.16,2,2024-02-11,Decoración
205,Alfombra,108.67,4,2024-02-11,Decoración
417,Elementos De Cerámica,35.97,2,2024-02-11,Decoración
462,Cuadro Decorativo,109.69,8,2024-02-11,Decoración
1730,Plancha De Vapor,101.57,10,2024-02-11,Electrodomésticos
1901,Freidora Eléctrica,83.07,6,2024-02-11,Electrodomésticos
2440,Consola De Videojuegos,110.79,8,2024-02-11,Electrónica
2952,Televisor,112.58,5,2024-02-11,Electrónica
362,Cuadro Decorativo,71.97,12,2024-02-12,Decoración
952,Cuadro Decorativo,72.08,11,2024-02-12,Decoración
970,Adorno De Pared,37.5,3,2024-02-12,Decoración
1963,Microondas,96.35,3,2024-02-12,Electrodomésticos
2122,Televisor,97.3,9,2024-02-12,Electrónica
2334,Auriculares,57.41,4,2024-02-12,Electrónica
2714,Auriculares,74.7,10,2024-02-12,Electrónica
116,Cortinas,40.19,3,2024-02-13,Decoración
2379,Proyector,108.52,12,2024-02-13,Electrónica
2669,Proyector,26.52,3,2024-02-13,Electrónica
2739,Proyector,63.33,10,2024-02-13,Electrónica
2766,Laptop,31.94,11,2024-02-13,Electrónica
2829,Proyector,33.84,5,2024-02-13,Electrónica
151,Lámpara De Mesa,113.01,7,2024-02-14,Decoración
366,Cortinas,92.84,1,2024-02-14,Decoración
406,Cortinas,64.96,1,2024-02-14,Decoración
884,Jarrón Decorativo,82.89,10,2024-02-14,Decoración
1488,Cafetera,79.98,2,2024-02-14,Electrodomésticos
1946,Secadora,69.17,6,2024-02-14,Electrodomésticos
2154,Auriculares,45.97,12,2024-02-14,Electrónica
2571,Parlantes Bluetooth,123.36,5,2024-02-14,Electrónica
2871,Parlantes Bluetooth,101.08,7,2024-02-14,Electrónica
282,Cuadro Decorativo,87.42,7,2024-02-15,Decoración
457,Elementos De Cerámica,38.25,1,2024-02-15,Decoración
946,Cortinas,109.32,7,2024-02-15,Decoración
1353,Microondas,98.65,2,2024-02-15,Electrodomésticos
2782,Televisor,62.8,8,2024-02-15,Electrónica
2979,Proyector,65.41,7,2024-02-15,Electrónica
1070,Plancha De Vapor,48.23,5,2024-02-16,Electrodomésticos
1265,Lavadora,120.53,5,2024-02-16,Electrodomésticos
1798,Cafetera,97.97,2,2024-02-16,Electrodomésticos
2304,Auriculares,44.56,8,2024-02-16,Electrónica
2595,Auriculares,81.96,2,2024-02-16,Electrónica
2825,Auriculares,39.92,4,2024-02-16,Electrónica
727,Elementos De Cerámica,108.86,6,2024-02-17,Decoración
913,Espejo Decorativo,59.36,4,2024-02-17,Decoración
1346,Secadora,64.11,4,2024-02-17,Electrodomésticos
1623,Microondas,95.91,4,2024-02-17,Electrodomésticos
1924,Aspiradora,38.1,9,2024-02-17,Electrodomésticos
2246,Laptop,76.02,10,2024-02-17,Electrónica
2255,Auriculares,72.37,8,2024-02-17,Electrónica
2345,Auriculares,61.61,4,2024-02-17,Electrónica
275,Alfombra,36.14,8,2024-02-18,Decoración
276,Cortinas,98.73,10,2024-02-18,Decoración
436,Cortinas,76.78,7,2024-02-18,Decoración
492,Cuadro Decorativo,120.22,5,2024-02-18,Decoración
658,Rincón De Plantas,96.23,8,2024-02-18,Decoración
694,Jarrón Decorativo,96.35,10,2024-02-18,Decoración
1081,Freidora Eléctrica,95.5,4,2024-02-18,Electrodomésticos
1115,Lavadora,96.75,3,2024-02-18,Electrodomésticos
1510,Plancha De Vapor,79.95,10,2024-02-18,Electrodomésticos
2136,Laptop,61.22,2,2024-02-18,Electrónica
2302,Televisor,69.69,5,2024-02-18,Electrónica
2837,Cámara Digital,63.35,1,2024-02-18,Electrónica
83,Espejo Decorativo,101.38,6,2024-02-19,Decoración
252,Cuadro Decorativo,110.99,8,2024-02-19,Decoración
428,Rincón De Plantas,74.58,11,2024-02-19,Decoración
728,Rincón De Plantas,58.34,2,2024-02-19,Decoración
878,Rincón De Plantas,29.09,12,2024-02-19,Decoración
52,Cuadro Decorativo,52.23,10,2024-02-20,Decoración
387,Elementos De Cerámica,76.94,12,2024-02-20,Decoración
722,Cuadro Decorativo,84.63,5,2024-02-20,Decoración
1409,Batidora,79.1,4,2024-02-20,Electrodomésticos
1568,Cafetera,99.1,10,2024-02-20,Electrodomésticos
1788,Cafetera,45.67,4,2024-02-20,Electrodomésticos
2077,Cámara Digital,28.16,4,2024-02-20,Electrónica
2706,Laptop,51.15,2,2024-02-20,Electrónica
2900,Consola De Videojuegos,63.26,2,2024-02-20,Electrónica
2992,Smartphone,116.25,8,2024-02-20,Electrónica
288,Rincón De Plantas,59.16,11,2024-02-21,Decoración
408,Rincón De Plantas,63.23,7,2024-02-21,Decoración
720,Adorno De Pared,90.05,1,2024-02-21,Decoración
1031,Freidora Eléctrica,117.97,6,2024-02-21,Electrodomésticos
1186,Secadora,80.16,9,2024-02-21,Electrodomésticos
1453,Microondas,60.46,5,2024-02-21,Electrodomésticos
1660,Plancha De Vapor,35.94,12,2024-02-21,Electrodomésticos
1700,Plancha De Vapor,75.08,6,2024-02-21,Electrodomésticos
1820,Plancha De Vapor,45.5,12,2024-02-21,Electrodomésticos
2083,Smartphone,32.6,8,2024-02-21,Electrónica
2742,Televisor,49.01,3,2024-02-21,Electrónica
2903,Smartphone,53.67,6,2024-02-21,Electrónica
707,Elementos De Cerámica,63.79,1,2024-02-22,Decoración
888,Rincón De Plantas,36.28,12,2024-02-22,Decoración
891,Lámpara De Mesa,44.78,4,2024-02-22,Decoración
928,Rincón De Plantas,111.8,5,2024-02-22,Decoración
1508,Cafetera,124.68,1,2024-02-22,Electrodomésticos
1582,Cafetera,53.82,7,2024-02-22,Electrodomésticos
2056,Laptop,99.0,11,2024-02-22,Electrónica
2883,Smartphone,59.99,12,2024-02-22,Electrónica
86,Cortinas,36.75,12,2024-02-23,Decoración
92,Cuadro Decorativo,35.48,3,2024-02-23,Decoración
199,Lámpara De Mesa,31.24,1,2024-02-23,Decoración
269,Lámpara De Mesa,66.48,1,2024-02-23,Decoración
752,Cuadro Decorativo,110.51,11,2024-02-23,Decoración
1323,Microondas,52.26,8,2024-02-23,Electrodomésticos
2419,Proyector,52.52,3,2024-02-23,Electrónica
2503,Smartphone,32.58,9,2024-02-23,Electrónica
